IATA	ICAO	JapaneseName	EnglishName	Country	City
TGZ	MMTG	トゥストラグティエレス国際空港 T uxtla G utiérrez International Airport メキシコ トゥストラグティエレス			
THA	KTHA	T ullahoma Regional Airport (William Northern Field) アメリカ			
THC	GLTN	T chien Airport リベリア			
THD		T ho Xuan Airport ベトナム			
THE	SBTE	T eresina Airport ブラジル			
THF	EDDI	T empelhof International Airport (closed 2008) ドイツ			
THI	GQNC	T ichitt Airport モーリタニア			
THL	EDDI	ベルリン・テンペルホーフ国際空港 Berlin T empelhof Airport ドイツ ベルリン			
THN	ESGT	T rollhättan-Vänersborg Airport スウェーデン			
THO	BITN	T horshofn Airport アイスランド			
THP	KTHP	H ot Springs County- T hermopolis Municipal Airport アメリカ			
THR	OIII	メヘラーバード国際空港 Mehrabad International Airport イラン テヘラン			
THS	VTPO	スコータイ空港 Sukhothai Airport タイ スコータイ			
THT	GQNT	T amchakett Airport モーリタニア			
THU	BGTL	T hule Air Base グリーンランド			
THV	KTHV	York Airport アメリカ ヨーク			
THX	UOTT	T urukhansk Airport ロシア			
THZ	DRRT	T ahoua Airport ニジェール			
TIA	LATI	ティラナ・リナ空港 T irana I nternational Airport アルバニア ティラナ			
TIC		T inak Airport (FAA: N18) マーシャル諸島			
TIF	OETF	T a'if Airport サウジアラビア			
TIH	NTGC	ティケハウ空港 T ikehau Airport フランス領ポリネシア ツヘラヘラ			
TII	OATN	T arin Kowt Airport アフガニスタン			
TIJ	MMTJ	ヘネラル・アベラルド・L・ロドリゲス国際空港 T ijuana I nternational Airport メキシコ ティファナ			
TIK	KTIK	T inker Air Force Base アメリカ			
TIM	WABP	Mozes Kilangin Airport インドネシア			
TIP	HLLT	トリポリ国際空港 T ripoli I nternational Airport リビア トリポリ			
TIQ	PGWT	テニアン国際空港 T inian I nternational Airport 北マリアナ諸島 テニアン島			
TIR	VOTP	T irupati Airport インド			
TIU	NZTU	Richard Pearse Airport ニュージーランド			
TIV	LYTV	ティヴァト空港 T ivat Airport モンテネグロ ティヴァト			
TIW	KTIW	タコマ T acoma Narrows Airport アメリカ タコマ			
TIX	KTIX	Space Coast Regional Airport アメリカ			
TIY	GQND	T idjikja Airport モーリタニア			
TJA	SLTJ	キャピタン・オリエル・リー・プラザ空港 Capitán Oriel Lea Plaza Airport ボリビア タリハ			
TJH	RJBT	但馬空港 T ajima Airport 日本 豊岡市			
TJK	LTAW	T okat Airport トルコ			
TJL	SSTL	T res Lagoas Regional Airport ブラジル			
TJM	USTR	Roschino Airport ロシア			
TJQ	WIKD	Buluh T umbang Airport インドネシア			
TJU	UTDK	クリャーブ空港 Kulob Airport タジキスタン クリャーブ			
TKA	PATK	T alkeetna Airport アメリカ			
TKD	DGTK	T akoradi Airport ガーナ			
TKF	KTRK	T ruckee- T ahoe Airport (FAA: T R K ) アメリカ トラッキー			
TKG	WICT	Radin Inten II Airport インドネシア			
TKI		T okeen Seaplane Base (FAA: 57A) アメリカ			
TKJ	PATJ	T ok Airport アメリカ			
TKK	PTKK	チューク国際空港 Chuuk International Airport ミクロネシア連邦 チューク			
TKN	RJKN	徳之島空港 T okunoshima Airport 日本 徳之島			
TKQ	HTKA	K igoma Airport タンザニア			
TKS	RJOS	徳島空港 T okushima Airport 日本 徳島			
TKT	VTPT	ターク空港 T ak Airport タイ ターク			
TKU	EFTU	トゥルク空港 T urku Airport フィンランド トゥルク			
TLA	PATE	T eller Airport (FAA: T ER) アメリカ			
TLC	MMTO	L ic. Adolfo L ópez Mateos International Airport メキシコ			
TLF		T elida Airport (FAA: 2K5) アメリカ			
TLH	KTLH	タラハシー国際空港 T allahassee International Airport アメリカ タラハシー			
TLJ	PATL	T atalina L RRS Airport アメリカ			
TLK	UECT	T alakan Airport ロシア			
TLL	EETN	タリン空港 L ennart Meri T allinn Airport エストニア ダリン			
TLN	LFTH	トゥーロン・エール空港 T oulon-Hyères Airport フランス トゥーロン			
TLQ	ZWTP	T urpan Jiaohe Airport 中国			
TLR	KTLR	Mefford Field アメリカ トゥーレアリ			
TLS	LFBO	トゥールーズ・ブラニャック空港 T oulouse–Blagnac Airport フランス トゥールーズ			
TLT		T uluksak Airport アメリカ			
TLV	LLBG	ベン・グリオン国際空港 Ben Gurion International Airport イスラエル テルアビブ			
TMA	KTMA	Henry T ift M yers Airport アメリカ			
TMB	KTMB	Kendall- T amiami Executive Airport アメリカ マイアミ			
TMD	GQNH	T imbedra Airport モーリタニア			
TME	SKTM	Gabriel Vargas Santos Airport コロンビア			
TMF	VRNT	シマラフューシ空港 T himarafushi Airport モルディブ シマラフューシ			
TMJ	UTST	テルメズ空港 T ermez Airport ウズベキスタン テルメズ			
TMK	VNTH	タムカルカ空港 T hamkharka Airport ネパール ホータン・バザール			
TML	DGLE	T amale Airport ガーナ			
TMM	FMMT	T oamasina Airport マダガスカル トアマシナ			
TMP	EFTP	タンペレ＝ピルッカラ空港 T ampere–Pirkkala Airport フィンランド タンペレ			
TMQ	DFEM	T ambao Airport ブルキナファソ			
TMR	DAAT	T amanrasset Airport アルジェリア			
TMS	FPST	サントメ国際空港 São T omé International Airport サントメ・プリンシペ サントメ			
TMT	SBTB	Porto T rombetas Airport ブラジル			
TMU	MRTR	タンバー空港 T ambor Airport コスタリカ タンバー			
TMW	YSTW	T amworth Airport オーストラリア			
TMZ	NZTH	T hames Aerodrome ニュージーランド			
TNA	ZSJN	済南遥墻国際空港 Jinan Yaoqiang International Airport 中国 済南			
TNC	PATC	T in City LRRS Airport アメリカ			
TNE	RJFG	種子島空港 T anegashima Airport 日本 種子島			
TNF	LFPN	T oussus-le- N oble Airport フランス			
TNG	GMTT	イブン・バットゥータ国際空港 Ibn Batouta International Airport モロッコ タンジェ			
TNH	ZYTN	T onghua Sanyuanpu Airport 中国			
TNI	VIST	Satna Airport インド			
TNJ	WIDN	ラジャ・ハジ・フィサビッリラー空港 Raja Haji Fisabilillah International Airport インドネシア タンジュン・ピナン			
TNK		T ununak Airport (FAA: 4KA) アメリカ			
TNL	UKLT	テルノーピリ空港 T ernopil Airport ウクライナ テルノーピリ			
TNM	SCRM	T eniente R. Marsh Airport チリ ビジャ・ラス・エストレージャス			
TNN	RCNN	台南空港 T ainan Airport 台湾 台南			
TNO	MRTM	タマリンド空港 T amarindo Airport コスタリカ タマリンド			
TNP	KTNP	トウェンティナイン・パームズ空港 T wentynine Palms Airport アメリカ トウェンティナイン・パームズ			
TNQ		T eraina Airport キリバス			
TNR	FMMI	イヴァト空港 Ivato Airport マダガスカル アンタナナリボ			
TNT	KTNT	Dade-Collier T raining and T ransition Airport アメリカ マイアミ			
TNU	KTNU	N ewton Municipal Airport アメリカ			
TNX	VDST	ストゥントレン空港 Stung T reng Airport カンボジア ストゥントレン			
TOA	KTOA	Zamperini Field アメリカ トーランス			
TOB	HLGN	Gamal Abdel Nasser Airport リビア			
TOC	KTOC	T occoa Airport (R.G. Le T ourneau Field) アメリカ			
TOD	WMBT	T ioman Airport マレーシア			
TOE	DTTZ	T ozeur, T unisia (Aeroport International T ozeur Nefta) チュニジア			
TOF	UNTT	Bogashevo Airport ロシア			
TOG	PATG	T ogiak Airport アメリカ			
TOI	KTOI	T roy Municipal Airport アメリカ			
TOJ	LETO	Madrid- T orrejón Airport スペイン			
TOL	KTOL	トレド・エクスプレス空港 T oledo Express Airport アメリカ トレド			
TOM	GATB	T imbuktu Airport マリ			
TOP	KTOP	Philip Billard Municipal Airport アメリカ			
TOR	KTOR	T orrington Municipal Airport アメリカ			
TOS	ENTC	トロムソ空港 T romsø Airport ノルウェー トロムソ			
TOT	SMCO	Coronie Airport スリナム			
TOY	RJNT	富山空港 T oyama Airport 日本 富山			
TPA	KTPA	タンパ国際空港 T ampa International Airport アメリカ タンパ			
TPE	RCTP	台湾桃園国際空港 T aiwan T aoyuan International Airport 台湾 台北・桃園			
TPF	KTPF	P eter O. Knight Airport アメリカ タンパ			
TPH	KTPH	トノパー空港 T onopah Airport アメリカ トノパー			
TPL	KTPL	Draughon-Miller Central T exas Regional Airport アメリカ			
TPP	SPST	コマンダンテFAPギレルモ・デル・カスティーロ・パレーズ空港 Comandante FA P Guillermo del Castillo P aredes Airport ペルー タラポト			
TPQ	MMEP	Amado Nervo National Airport メキシコ			
TPR		T om P rice Airport オーストラリア			
TPS	LICT	T rapani-Birgi Airport イタリア			
TQA	BGTA	T asiusaq Heliport ( Q aasuitsup) グリーンランド			
TQI	BGTN	T initeqilaaq Heliport グリーンランド			
TQN	OATQ	T aloqan Airport アフガニスタン			
TQP	YTEE	T repell Airport オーストラリア			
TRA	RORT	多良間空港 T arama Airport 日本 多良間島			
TRC	MMTC	トレオン国際空港 T orreón International Airport メキシコ トレオン			
TRD	ENVA	トロンハイム空港 T rondheim Airport, Værnes ノルウェー トロンハイム			
TRE	EGPU	T iree Airport イギリス			
TRF	ENTO	サンネフィヨルド空港 Sandefjord Airport ノルウェー サンネフィヨルド			
TRG	NZTG	T auranga Airport ニュージーランド			
TRH		トローナ空港 T rona Airport (FAA: L72) アメリカ トローナ			
TRI	KTRI	トライシティズ空港 T ri-Cities R egional Airport アメリカ キングスポート			
TRK	WALR	Juwata Airport インドネシア			
TRL	KTRL	T errell Municipal Airport アメリカ			
TRM	KTRM	Jacqueline Cochran R egional Airport アメリカ パームスプリングス			
TRN	LIMF	トリノ空港 T orino Caselle Airport イタリア トリノ			
TRR	VCCT	トリンコマリー空港 T rincomalee Airport スリランカ トリンコマリー			
TRS	LIPQ	トリエステ＝ロンキ・デイ・レジョナーリ空港 T rieste		トリエステ＝ロンキ・デイ・レジョナーリ空港 T rieste	Friuli Venezia Giulia Airport イタリア トリエステ
TRU	SPRU	キャプテンFAPカルロス・マルティネス・デ・ピニージョス国際空港 Capitán FAP Carlos Martínez de Pinillos International Airport ペルー トルヒーリョ			
TRV	VOTV	トリヴァンドラム国際空港 T rivandrum International Airport インド トリバンドラム			
TRW	NGTA	ボンリキ国際空港 Bonriki International Airport キリバス タラワ			
TRX	KTRX	T renton Municipal Airport アメリカ			
TRZ	VOTR	T iruchirapalli international Airport インド			
TSA	RCSS	台北松山空港（タイペイショウザン） T aipei S ongshan Airport 台湾 台北・松山			
TSE	UACC	ヌルスルタン・ナザルバエフ国際空港（旧称：アスタナ国際空港） Nur- S ultan Airport (Astana Airport) カザフスタン ヌルスルタン（旧称：アスタナ）			
TSF	LIPH	T reviso Airport イタリア			
TSG		T anacross Airport アメリカ			
TSJ	RJDT	対馬空港 T sushima Airport 日本 対馬市			
TSL	MMTN	T amuín National Airport メキシコ			
TSM	KSKX	T aos Regional Airport (FAA: S KX) アメリカ			
TSN	ZBTJ	天津浜海国際空港 T ianjin Binhai International Airport 中国 天津			
TSO	EGHT	トレスコ・ヘリポート T resco Heliport イギリス トレスコ島			
TSP	KTSP	テハチャピ空港 T ehachapi Municipal Airport アメリカ テハチャピ			
TSR	LRTR	トライアン・ヴイア国際空港 T raian Vuia International Airport ルーマニア ティミショアラ			
TSS		East 34th S treet Heliport (FAA: 6N5) アメリカ			
TST	VTST	トラン空港 T rang Airport タイ トラン			
TSV	YBTL	タウンズビル空港 T ownsville Airport オーストラリア タウンズビル			
TSY	WICM	T asikmalaya Airport インドネシア			
TSZ	ZMTG	ツェツェルレグ空港 T setserleg Airport モンゴル ツェツェルレグ			
TTA	GMAT	T an T an Airport (Plage Blanche Airport) モロッコ			
TTB	LIET	T ortolì Airport イタリア			
TTD	KTTD	Portland- T routdale Airport アメリカ ポートランド			
TTG	SAST	T artagal Airport アルゼンチン			
TTJ	RJOR	鳥取空港 T ottori Airport 日本 鳥取			
TTM		T ablón de T amara Airport コロンビア			
TTN	KTTN	T renton-Mercer Airport アメリカ			
TTO	KBTN	Britton Municipal Airport (FAA: B T N) アメリカ			
TTQ	MRAO	トルトゥゲーロ空港 T ortuguero Airport コスタリカ トルトゥゲーロ			
TTS		T saratanana Airport マダガスカル			
TTT	RCFN	台東空港 T aitung Airport 台湾 台東			
TTU		Sania Ramel Airport モロッコ ティトゥアン			
TUA	SETU	T eniente Coronel Luis a Mantilla International Airport エクアドル			
TUC	SANT	T eniente General Benjamín Matienzo International Airport アルゼンチン			
TUD	GOTT	T ambacounda Airport セネガル			
TUF	LFOT	T ours Val de Loire Airport フランス トゥール			
TUG	RPUT	トゥゲガラオ空港 T uguegarao Airport フィリピン トゥゲガラオ			
TUK	OPTU	トゥルバット国際空港 T urbat International Airport パキスタン トゥルバット			
TUL	KTUL	タルサ国際空港 T ulsa International Airport アメリカ タルサ			
TUN	DTTA	チュニス・カルタゴ国際空港 T unis-Carthage International Airport チュニジア チュニス			
TUO	NZAP	T aupo Airport ニュージーランド			
TUP	KTUP	T upelo Regional Airport アメリカ			
TUQ	DFOT	T ougan Airport ブルキナファソ			
TUS	KTUS	ツーソン国際空港 T ucson International Airport アメリカ ツーソン			
TUU	OETB	T abuk Regional Airport サウジアラビア			
TUY		T ulum Airport メキシコ トゥルム			
TVC	KTVC	チェリー・キャピタル空港 Cherry Capital Airport アメリカ トラバースシティ			
TVF	KTVF	T hief River Falls Regional Airport アメリカ			
TVI	KTVI	T homasville Regional Airport アメリカ			
TVL	KTVL	レイク・タホ空港 Lake T ahoe Airport アメリカ サウス・レイク・タホ			
TVS		T angshan Sannühe Airport 中国			
TVU	NFNM	マテイ空港 Matei Airport フィジー マテイ			
TVY	VYDW	Dawei Airport ミャンマー			
TWA		T win Hills Airport (FAA: A63) アメリカ			
TWD		Jefferson County International Airport (FAA: 0S9) アメリカ ポート・タウンセンド			
TWE		T aylor Airport (FAA: AK49) アメリカ			
TWF	KTWF	Magic Valley Regional Airport (Joslin Field) アメリカ			
TWT	RPMN	サンガサンガ空港 Sanga-Sanga Airport フィリピン ボンガオ			
TWU	WBKW	T awau Airport マレーシア			
TXK	KTXK	T exarkana Regional Airport (Webb Field) アメリカ			
TXL	EDDT	ベルリン・テーゲル国際空港 Berlin T egel Airport ドイツ ベルリン			
TYA	LTBP	Y alova Airport トルコ			
TYD	UHBW	T ynda Airport ロシア			
TYE		T yonek Airport アメリカ			
TYL	SPYL	キャプテンFAPビクトール・モンテス・アリアス空港 Captain FAP Víctor Montes Arias Airport ペルー タララ			
TYN	ZBYN	太原武宿国際空港 T aiyuan Wusu International Airport 中国 太原			
TYR	KTYR	T yler Pounds Regional Airport アメリカ			
TYS	KTYS	マックギー・タイソン空港 McGhee T yson Airport アメリカ ノックスビル			
TYT	SUTR	T reinta y T res Airport ウルグアイ			
TYZ	KTYL	T aylor Airport (FAA: T Y L) アメリカ			
TZA		Belize City Municipal Airport ベリーズ ベリーズシティ			
TZL	LQTZ	トゥズラ国際空港 T uzla International Airport ボスニア・ヘルツェゴビナ トゥズラ			
TZM		Cupul National Airport メキシコ			
TZN	MYAK	South Andros Airport バハマ			
TZX	LTCG	T rabzon Airport トルコ トラブゾン			
UAK	BGBW	Narsarsuaq A irport グリーンランド			
UAL	FNUA	Luau A irport アンゴラ			
UAM	PGUA	A ndersen A ir Force Base グアム			
UAQ	SANU	Domingo Faustino Sarmiento A irport アルゼンチン			
UBA	SBUR	Mário de Almeida Franco Airport ブラジル			
UBJ	RJDC	山口宇部空港 Yamaguchi- U be Airport 日本 山口宇部			
UBP	VTUU	ウボンラーチャターニー空港 U bon Ratchathani Airport タイ ウボンラーチャターニー			
UBS	KUBS	Columbus-Lowndes County Airport アメリカ			
UCA	KUCA	Oneida C ounty Airport アメリカ ユーティカ			
UCC	KUCC	ユッカ・エアストリップ Yucca Airstrip アメリカ マーキュリー			
UCE		Eunice Airport (FAA: 4R7) アメリカ			
UCN	GLBU	Buchanan Airport リベリア			
UCT	UUYH	U khta Airport ロシア			
UCY	KUCY	Everett-Stewart Airport アメリカ			
UDD	KUDD	Bermuda D unes Airport アメリカ パームスプリングス			
UDE	EHVK	Volkel Air Base オランダ			
UDI	SBUL	U berlandia Airport ブラジル			
UDJ	UKLU	ウージュホロド国際空港 U zhhorod International Airport ウクライナ ウージュホロド			
UDR	VAUD	U daipur Airport インド ウダイプル			
UEL	FQQL	Quelimane Airport モザンビーク			
UEO	ROKJ	久米島空港 Kumejima Airport 日本 久米島			
UES	KUES	Waukesha County Airport アメリカ			
UET	OPQT	クエッタ国際空港 Quetta International Airport パキスタン クエッタ			
UFA	UWUU	U fa Airport ロシア			
UGA	ZMBN	ボルガン空港 Bulgan Airport モンゴル ボルガン			
UGB		U gashik Bay Airport アメリカ			
UGC	UTNU	ウルゲンチ国際空港 U rgench International Airport ウズベキスタン ウルゲンチ			
UGI		U ganik Airport アメリカ			
UGN	KUGN	Waukegan Regional Airport アメリカ			
UGS		U gashik Airport (FAA: 9A8) アメリカ			
UHE	LKKU	クノヴィッチェ空港 Kunovice Airport チェコ クノヴィッチェ			
UIB	SKUI	El Caraño Airport コロンビア			
UIH	VVPC	フーカット空港 ベトナム クイニョン			
UIK	UIBS	U st- I limsk Airport ロシア			
UIL	KUIL	Quillayute Airport アメリカ フォークス			
UIN	KUIN	Quincy Regional Airport (Baldwin Field) アメリカ			
UIO	SEQM	マリスカル・スクレ国際空港 Mariscal Sucre I nternational Airport エクアドル キト			
UIP	LFRQ		Quimper	Quimper	Cornouaille Airport フランス カンペール
UIQ	NVVQ	Quoin Hill Airport バヌアツ			
UIT		ジャルート空港 Jaluit Airport マーシャル諸島 ジャボール島			
UJE		ウジャエ空港 U jae Airport マーシャル諸島 ウジャエ島			
UKB	RJBE	神戸空港 K obe Airport 日本 神戸			
UKG		U st- K uyga Airport ロシア			
UKI	KUKI	ユカイア空港 U kiah Municipal Airport アメリカ ユカイア			
UKK	UASK	オスケメン空港 Oskemen Airport カザフスタン オスケメン			
UKN		Waukon Municipal Airport (FAA: Y01) アメリカ			
UKT	KUKT	Quakertown Airport アメリカ			
UKX	UITT	U st- K ut Airport ロシア			
ULG	ZMUL	ウルギー空港 Ölgii Airport モンゴル ウルギー			
ULI		Falalop Island Airport (FAA: TT02) ミクロネシア連邦			
ULM	KULM	New U lm Municipal Airport アメリカ			
ULN	ZMUB	チンギスハーン国際空港 Chinggis Khaan International Airport モンゴル ウランバートル			
ULO	ZMUG	オラーンゴム空港 U laangom Airport モンゴル オラーンゴム			
ULS		Mulatos Airport コロンビア			
ULV	UWLL	U lyanovsk Baratayevka Airport ロシア			
ULY	UWLW	U lyanovsk Vostochny Airport ロシア			
UMA		Punta de M aisi Airport キューバ			
UMD	BGUM	U ummannaq Heliport グリーンランド			
UME	ESNU	ウメオ空港 U meå Airport スウェーデン ウメオ			
UMM	PAST	Summit Airport アメリカ			
UMS		U st- M aya Airport ロシア			
UMT	PAUM	U miat Airport アメリカ			
UNC		U nguía Airport コロンビア			
UND	OAUZ	Kunduz Airport アフガニスタン			
UNI	TVSU	ユニオン・アイランド空港 U nion Island Airport セントビンセントおよびグレナディーン諸島の空港			
UNK	PAUN	U nalakleet Airport アメリカ			
UNN	VTSR	ラノーン空港 Ranong Airport タイ ラノーン			
UNR	ZMUH	ウンドゥルハーン空港 Öndörkhaan Airport モンゴル ウンドゥルハーン			
UNU	KUNU	Dodge County Airport アメリカ ジュノー			
UOL		Buol Airport インドネシア			
UOS	KUOS	Franklin County Airport アメリカ			
UOX	KUOX	U niversity- O xford Airport アメリカ オックスフォード			
UPG	WAAA	ハサヌディン国際空港 Hasanuddin International Airport インドネシア マカッサル			
UPL	MRUP	ウパラ空港 U pala Airport コスタリカ ウパラ			
UPN	MMPN	Lic. y Gen. Ignacio López Rayón International Airport メキシコ			
UPP	PHUP	ウポル空港 U polu Airport アメリカ ハビ			
URA	UARR	オラル空港 Oral Ak Zhol Airport カザフスタン オラル			
URC	ZWWW	ウルムチ地窩堡国際空港 U rumqi Diwopu International Airport 中国 ウルムチ市			
URE	EEKE	Kuressaare Airport エストニア クレサーレ			
URG	SBUG	R ubem Berta International Airport ブラジル			
URI		U ribe Airport コロンビア			
URJ	USHU	U ray Airport ロシア			
URO	LFOP	R ouen Vallée de Seine Airport フランス ルーアン			
URS	UUOK	Kursk Vostochny Airport ロシア			
URT	VTSB	スラートターニー空港 Surat Thani Airport タイ スラートターニー			
USA	KJQF	Concord Regional Airport アメリカ			
USH	SAWH		U shuaia	U shuaia	Malvinas Argentinas International Airport アルゼンチン ウシュアイア
USI	SYMB	Mabaruma Airport ガイアナ			
USM	VTSM	サムイ空港 S amui Airport タイ サムイ島			
USQ	LTBO	U sak Airport トルコ			
USR		U st-Nera Airport ロシア			
UST	KSGJ	S t. Augustine Airport (FAA: S GJ) アメリカ			
USU	RPVV	フランシスコBレイズ空港 Francisco B. Reyes Airport フィリピン コロン			
UTA	FVMU	Mutare Airport ジンバブエ			
UTC	EHSB	Soesterberg Air Base オランダ			
UTE	FABU	Butterworth Airport マレーシア			
UTH	VTUD	ウドーンターニー国際空港 U don T hani International Airport タイ ウドーンターニー			
UTI	EFUT	U tti Airport フィンランド			
UTK		ウチリック空港 U tirik Airport マーシャル諸島 ウチリック島			
UTM	KUTA	T unica Municipal Airport (FAA: U T A) アメリカ			
UTN	FAUP	U pington Airport 南アフリカ			
UTO	PAIM	Indian Mountain LRRS Airport アメリカ			
UTP	VTBU	ウタパオ国際空港 U		ウタパオ国際空港 U	T apao International Airport タイ パタヤ
UTT	FAUT	Mthatha Airport 南アフリカ			
UUA	UWKB	Bugulma Airport ロシア			
UUD	UIUU	U lan- U de Airport ロシア			
UUK	PAKU	U gnu-Kuparuk Airport (FAA: U BW) アメリカ			
UUS	UHSS	ホムトヴォ空港－ユジノサハリンスク空港 Khomutovo Airport ロシア ユジノサハリンスク			
UUU		Manumu Airport パプアニューギニア			
UVA	KUVA	Garner Field アメリカ			
UVF	TLPL	Hewanorra International Airport セントルシア			
UWA		W are Airport (FAA: MA53) アメリカ			
UYL	HSNN	Nyala Airport スーダン			
UYU	SLUY	ウユニ空港 U yuni Airport ボリビア ウユニ			
UZC	LYUZ	U žice-Ponikve Airport セルビア			
UZR		U rzhar Airport カザフスタン			
UZU	SATU	Curuzú Cuatiá Airport アルゼンチン			
VAA	EFVA	ヴァーサ空港 V aasa A irport フィンランド ヴァーサ			
VAD	KVAD	Moody A ir Force Base アメリカ			
VAF	LFLU	V alence-Chabeuil A irport フランス			
VAG	SBVG	Major Brigadeiro Trompowsky A irport ブラジル			
VAI	AYVN	バニモ空港 V animo A irport パプアニューギニア バニモ			
VAK	PAVA	Chevak A irport アメリカ			
VAM	VRMV	ヴィラ国際空港 V illa International A irport モルディブ マーミギリ			
VAN	LTCI	Ferit Melen A irport トルコ ワン			
VAO	AGGV	スアヴァナオ空港 Suavanao A irport ソロモン諸島 スアヴァナオ			
VAR	LBWN	ヴァルナ空港 V arna A irport ブルガリア ヴァルナ			
VAS	LTAR	Sivas A irport トルコ スィワス			
VAV	NFTV	ヴァヴァウ国際空港 V avau International A irport トンガ ヴァヴァウ諸島			
VAW	ENSS	V ardø A irport, Svartnes ノルウェー			
VBG	KVBG	V andenberg Air Force B ase アメリカ ロンポック			
VBS	LIPO	B rescia Montichiari International Airport イタリア ブレシア			
VBY	ESSV	ビスビー空港 V isby Airport スウェーデン ビスビー			
VCA	VVCT	カントー空港 C an Tho International Airport ベトナム クイニョン			
VCB	KVCB	ナット・ツリー空港 Nut Tree Airport アメリカ バカビル			
VCC		Limbe Airport カメルーン			
VCE	LIPZ	ヴェネツィア・テッセラ空港 V enezia Tessera Airport イタリア ベネチア			
VCH	SUVO	V ichadero Airport ウルグアイ			
VCL	VVCA	チューライ国際空港 C hu Lai International Airport ベトナム チューライ			
VCP	SBKP	ヴィラコッポス国際空港 V iracopos- C ampinas International Airport ブラジル カンピーナス			
VCS	VVCS	コンダオ空港 C on Dao Airport ベトナム コンソン島			
VCT	KVCT	V ictoria Regional Airport アメリカ ヴィクトリア			
VCV	KVCV	Southern C alifornia Logistics Airport アメリカ ビクタービル			
VDA	LLOV	オブダ国際空港 Ovda International Airport イスラエル エイラート			
VDB	ENFG	Fagernes Airport, Leirin ノルウェー			
VDC	SBQV	V itória da Conquista Airport ブラジル			
VDH	VVDH	ドンホイ空港 D ong Hoi Airport ベトナム ドンホイ			
VDI	KVDI	V idalia Regional Airport アメリカ			
VDM	SAVV	Gobernador Edgardo Castello Airport アルゼンチン			
VDP	SVVP	V alle de la Pascua Airport ベネズエラ			
VDR	SAOD	V illa D olores Airport アルゼンチン			
VDS	ENVD	V adsø Airport ノルウェー			
VDZ	PAVD	V aldez Airport (Pioneer Field) アメリカ			
VEE	PAVE	V enetie Airport アメリカ			
VEL	KVEL	V ernal Airport アメリカ			
VER	MMVR	ベラクルス国際空港 V eracruz International Airport メキシコ ベラクルス			
VEX		Tioga Municipal Airport (FAA: D60) アメリカ			
VEY	BIVM	V estmannaeyjar Airport アイスランド			
VFA	FVFA	ヴィクトリアフォールズ空港 V ictoria F alls Airport ジンバブエ ビクトリア・フォールズ			
VGA	VBOZ	V ijayawada Airport インド			
VGD	ULWW	V ologda Airport ロシア			
VGO	LEVX	ビーゴ・ペイナドール空港 V igo-Peinador Airport スペイン ビーゴ			
VGT	KVGT	ノース・ラスベガス空港 North Las V egas Airport アメリカ ノース・ラスベガス			
VGZ	SKVG	V illa G arzón Airport コロンビア			
VHM	ESNV	V ilhelmina Airport スウェーデン			
VHN	KVHN	Culberson County Airport アメリカ			
VHV		V erkhnevilyuysk Airport ロシア			
VIA	SSVI	V ideira Airport ブラジル			
VIC	LIPT	V icenza Airport イタリア ヴィチェンツァ			
VID	LBVD	V idin Airport ブルガリア			
VIE	LOWW	ウィーン国際空港 V ienna I nternational Airport オーストリア ウィーン			
VIF		V ieste Airport イタリア			
VIG	SVVG	Juan Pablo Perez Alfonso Airport ベネズエラ			
VIH	KVIH	Rolla National Airport アメリカ			
VII	VVVH	ヴィン空港 V inh Airport ベトナム ヴィン			
VIJ	TUPW	V irgin Gorda Airport イギリス領ヴァージン諸島 ヴァージン・ゴルダ島			
VIL	GMMH	ダフラ空港 Dakhla Airport 西サハラ ダフラ			
VIN	UKWW	Gavryshivka I nternational ウクライナ			
VIQ	WPVQ	V iqueque Airport 東ティモール			
VIS	KVIS	バイセイリア空港 V isalia Municipal Airport アメリカ バイセイリア			
VIT	LEVT	V itoria Foronda I nternational Airport スペイン			
VIV		V ivigani Airfield パプアニューギニア			
VIX	SBVT	Eurico de Aguiar Salles Airport ブラジル ビトリア			
VJB	FQXA	Xai Xai Airport モザンビーク			
VJI	KVJI	V irginia Highlands Airport アメリカ			
VKG	VVRG	ラックザー空港 Rach Gia Airport ベトナム ラックザー			
VKO	UUWW	V nukovo International Airport ロシア			
VKS	KVKS	V icksburg Municipal Airport アメリカ			
VKT	UUYW	V orkuta Airport ロシア			
VLA	KVLA	V andalia Municipal Airport アメリカ			
VLC	LEVC	バレンシア・マニセス国際空港 V alencia Airport スペイン バレンシア			
VLD	KVLD	V aldosta Regional Airport アメリカ			
VLE		V alle Airport (FAA: 40G) アメリカ			
VLG	SAZV		V illa Gesell	V illa Gesell	Pinamar International Airport アルゼンチン ビジャ・へセル
VLI	NVVV	ポートビラ・バウアフィールド空港 Port V ila Bauerfield Airport バヌアツ ポートビラ			
VLL	LEVD	V alladolid Airport スペイン バリャドリッド			
VLN	SVVA	Arturo Michelena International Airport ベネズエラ バレンシア			
VLU	ULOL	V elikiye L uki Airport ロシア			
VLV	SVVL	Dr. Antonio Nicolás Briceno Airport ベネズエラ			
VME	SAOR	Pringles Airport アルゼンチン			
VMU		Baimuru Airport パプアニューギニア			
VNC	KVNC	V enice Municipal Airport アメリカ			
VNE	LFRV	V annes-Meucon Airport フランス ヴァンヌ			
VNO	EYVI	ヴィリニュス国際空港 V ilnius International Airport リトアニア ビリニュス			
VNS	VIBN	ラール・バハードゥル・シャーストリー空港 Lal Bahadur Shastri Airport インド バラナシ			
